WBID,year,method,Angler_days
00483PARK,2006,VILQ,830
00483PARK,2017,VILQ,1213
00483PARK,1986,VILQ,1325
00483PARK,2011,VILQ,1379
00483PARK,1992,VILQ,1013
00483PARK,2022,VILQ,737
00483PARK,2002,VILQ,1208
00483PARK,1989,VILQ,1270
00458PARK,2017,VILQ,1962
00458PARK,2006,VILQ,3193
00458PARK,2002,VILQ,521
00458PARK,1989,VILQ,400
00458PARK,2011,VILQ,3195
00458PARK,1992,VILQ,756
00458PARK,2022,VILQ,1555
00458PARK,1986,VILQ,195
00441PARK,1992,VILQ,6
00441PARK,2002,VILQ,10
00441PARK,2017,VILQ,0
00441PARK,2006,VILQ,114
00441PARK,1986,VILQ,0
00441PARK,2011,VILQ,73
00441PARK,2022,VILQ,82
00441PARK,1989,VILQ,0
00316PARK,2022,VILQ,1187
00316PARK,1992,VILQ,2438
00316PARK,1989,VILQ,2701
00316PARK,2011,VILQ,3267
00316PARK,2017,VILQ,1641
00316PARK,1986,VILQ,2030
00316PARK,2006,VILQ,3716
00316PARK,2002,VILQ,2240
00356PARK,2022,VILQ,0
00356PARK,2017,VILQ,0
00356PARK,2011,VILQ,0
01088ALBN,2002,VILQ,0
01088ALBN,1992,VILQ,19
01088ALBN,2017,VILQ,0
01088ALBN,2011,VILQ,73
01088ALBN,1986,VILQ,15
01088ALBN,1989,VILQ,18
01088ALBN,2022,VILQ,0
00296PARK,1989,VILQ,0
00296PARK,1986,VILQ,20
00296PARK,2011,VILQ,0
00296PARK,2022,VILQ,0
00296PARK,2017,VILQ,0
00296PARK,2002,VILQ,31
00296PARK,1992,VILQ,0
00277PARK,2011,VILQ,73
00277PARK,1992,VILQ,56
00277PARK,2022,VILQ,0
00277PARK,2002,VILQ,94
00277PARK,2006,VILQ,216
00277PARK,1986,VILQ,10
00277PARK,1989,VILQ,12
00277PARK,2017,VILQ,36
00244PARK,2022,VILQ,3478
00244PARK,1986,VILQ,2670
00244PARK,2011,VILQ,3412
00244PARK,1989,VILQ,3691
00244PARK,2017,VILQ,4102
00244PARK,2006,VILQ,3125
00244PARK,2002,VILQ,2646
00244PARK,1992,VILQ,5894
00242PARK,1992,VILQ,11075
00242PARK,2011,VILQ,0
00242PARK,1989,VILQ,185
00242PARK,2002,VILQ,73
00242PARK,2017,VILQ,36
00242PARK,2022,VILQ,41
00242PARK,2006,VILQ,182
00242PARK,1986,VILQ,125
00249PARK,2017,VILQ,2283
00249PARK,2006,VILQ,4943
00249PARK,1989,VILQ,1992
00249PARK,2011,VILQ,5808
00249PARK,1992,VILQ,1356
00249PARK,2022,VILQ,4215
00249PARK,1986,VILQ,485
00249PARK,2002,VILQ,1990
00105PARK,2011,VILQ,0
00105PARK,2017,VILQ,0
00105PARK,2022,VILQ,0
00687PARK,2002,VILQ,0
00687PARK,1986,VILQ,0
00687PARK,2017,VILQ,0
00687PARK,1992,VILQ,13
00687PARK,1989,VILQ,0
00687PARK,2022,VILQ,0
00687PARK,2011,VILQ,0
00209VICT,2017,VILQ,0
00209VICT,2011,VILQ,0
00209VICT,1986,VILQ,0
00209VICT,2022,VILQ,0
00209VICT,1992,VILQ,0
00209VICT,2002,VILQ,10
00209VICT,1989,VILQ,0
00698PARK,2006,VILQ,4557
00698PARK,1992,VILQ,838
00698PARK,2017,VILQ,2426
00698PARK,1989,VILQ,948
00698PARK,2022,VILQ,2414
00698PARK,2011,VILQ,4501
00698PARK,1986,VILQ,0
00698PARK,2002,VILQ,1500
00472PARK,1986,VILQ,105
00472PARK,2022,VILQ,0
00472PARK,1992,VILQ,431
00472PARK,2006,VILQ,11
00472PARK,1989,VILQ,107
00472PARK,2017,VILQ,0
00472PARK,2011,VILQ,0
00472PARK,2002,VILQ,0
00659PARK,2011,VILQ,182
00659PARK,2002,VILQ,42
00659PARK,1992,VILQ,175
00659PARK,2022,VILQ,0
00659PARK,2006,VILQ,216
00659PARK,1989,VILQ,24
00659PARK,1986,VILQ,40
00659PARK,2017,VILQ,36
00402COWN,2022,VILQ,0
00402COWN,2002,VILQ,219
00402COWN,1986,VILQ,0
00402COWN,2011,VILQ,36
00402COWN,2006,VILQ,693
00402COWN,2017,VILQ,0
00402COWN,1992,VILQ,131
00402COWN,1989,VILQ,0
00615PARK,1992,VILQ,388
00615PARK,2022,VILQ,205
00615PARK,1986,VILQ,75
00615PARK,2017,VILQ,36
00615PARK,2002,VILQ,63
00615PARK,2011,VILQ,182
00615PARK,1989,VILQ,131
00385COWN,2002,VILQ,42
00385COWN,2017,VILQ,0
00385COWN,2006,VILQ,68
00385COWN,2022,VILQ,0
00385COWN,1986,VILQ,60
00385COWN,1992,VILQ,106
00385COWN,2011,VILQ,0
00385COWN,1989,VILQ,36
00365COWN,2011,VILQ,0
00365COWN,1992,VILQ,6
00365COWN,1986,VILQ,5
00365COWN,2002,VILQ,73
00365COWN,2017,VILQ,0
00365COWN,2022,VILQ,0
00365COWN,1989,VILQ,0
00086SANJ,1986,VILQ,0
00086SANJ,2002,VILQ,146
00086SANJ,2011,VILQ,254
00086SANJ,1992,VILQ,225
00086SANJ,2006,VILQ,261
00086SANJ,2017,VILQ,0
00086SANJ,2022,VILQ,41
00086SANJ,1989,VILQ,131
00506PARK,1992,VILQ,0
00506PARK,2011,VILQ,0
00506PARK,1986,VILQ,0
00506PARK,2002,VILQ,0
00506PARK,2022,VILQ,0
00506PARK,2017,VILQ,0
00506PARK,1989,VILQ,6
00378COWN,1989,VILQ,24
00378COWN,2022,VILQ,0
00378COWN,2006,VILQ,57
00378COWN,1992,VILQ,19
00378COWN,2017,VILQ,0
00378COWN,2011,VILQ,36
00378COWN,1986,VILQ,0
00378COWN,2002,VILQ,63
00646PARK,1989,VILQ,72
00646PARK,1986,VILQ,0
00646PARK,2017,VILQ,107
00646PARK,2002,VILQ,104
00646PARK,2011,VILQ,0
00646PARK,2006,VILQ,193
00646PARK,1992,VILQ,19
00646PARK,2022,VILQ,0
00079COWN,2017,VILQ,36
00079COWN,2022,VILQ,0
00079COWN,2006,VILQ,102
00079COWN,2011,VILQ,0
00079COWN,1986,VILQ,0
00079COWN,2002,VILQ,73
00079COWN,1992,VILQ,13
00079COWN,1989,VILQ,0
00473PARK,1986,VILQ,0
00473PARK,2002,VILQ,10
00473PARK,2017,VILQ,107
00473PARK,1992,VILQ,25
00473PARK,2022,VILQ,0
00473PARK,2011,VILQ,0
00473PARK,1989,VILQ,0
00473PARK,2006,VILQ,23
00330COWN,1992,VILQ,6
00330COWN,1989,VILQ,0
00330COWN,2017,VILQ,0
00330COWN,1986,VILQ,0
00330COWN,2022,VILQ,0
00330COWN,2002,VILQ,0
00330COWN,2011,VILQ,0
00330COWN,2006,VILQ,23
00111COWN,2002,VILQ,63
00111COWN,1986,VILQ,0
00111COWN,2022,VILQ,41
00111COWN,2011,VILQ,182
00111COWN,1989,VILQ,0
00111COWN,1992,VILQ,0
00111COWN,2017,VILQ,0
00111COWN,2006,VILQ,102
00386COWN,2022,VILQ,0
00386COWN,2017,VILQ,0
00386COWN,2011,VILQ,0
00103ALBN,1989,VILQ,42
00103ALBN,1992,VILQ,38
00103ALBN,1986,VILQ,170
00103ALBN,2002,VILQ,0
00103ALBN,2011,VILQ,0
00103ALBN,2022,VILQ,0
00103ALBN,2017,VILQ,0
00103ALBN,2006,VILQ,34
00729CAMB,2017,VILQ,0
00729CAMB,2011,VILQ,0
00729CAMB,2022,VILQ,0
01270COMX,2011,VILQ,0
01270COMX,2022,VILQ,0
01270COMX,2017,VILQ,0
00051PARK,2011,VILQ,0
00051PARK,2017,VILQ,0
00051PARK,2022,VILQ,0
00051PARK,2002,VILQ,250
00051PARK,1989,VILQ,0
00051PARK,1986,VILQ,0
00051PARK,1992,VILQ,0
01249COMX,2011,VILQ,0
01249COMX,2017,VILQ,0
01249COMX,2022,VILQ,0
01248COMX,1989,VILQ,143
01248COMX,1992,VILQ,263
01248COMX,2022,VILQ,0
01248COMX,2011,VILQ,73
01248COMX,2006,VILQ,102
01248COMX,1986,VILQ,145
01248COMX,2017,VILQ,0
01248COMX,2002,VILQ,313
00049PARK,2006,VILQ,11
00049PARK,1989,VILQ,0
00049PARK,1986,VILQ,10
00049PARK,2022,VILQ,0
00049PARK,2011,VILQ,0
00049PARK,1992,VILQ,0
00049PARK,2017,VILQ,0
00049PARK,2002,VILQ,21
01254COMX,2006,VILQ,261
01254COMX,2017,VILQ,36
01254COMX,2022,VILQ,0
01254COMX,1986,VILQ,0
01254COMX,1992,VILQ,81
01254COMX,1989,VILQ,352
01254COMX,2002,VILQ,104
01254COMX,2011,VILQ,73
01243COMX,2002,VILQ,479
01243COMX,1989,VILQ,1097
01243COMX,2011,VILQ,290
01243COMX,2017,VILQ,571
01243COMX,2022,VILQ,164
01243COMX,2006,VILQ,2000
01243COMX,1992,VILQ,956
01243COMX,1986,VILQ,875
00680CAMB,2022,VILQ,0
00680CAMB,2017,VILQ,0
00680CAMB,2011,VILQ,0
00690CAMB,2017,VILQ,0
00690CAMB,2022,VILQ,0
00690CAMB,2002,VILQ,0
00690CAMB,2011,VILQ,0
00690CAMB,1992,VILQ,13
00690CAMB,1989,VILQ,12
00690CAMB,2006,VILQ,68
00690CAMB,1986,VILQ,0
01239COMX,1992,VILQ,0
01239COMX,1989,VILQ,0
01239COMX,2011,VILQ,0
01239COMX,2022,VILQ,0
01239COMX,2002,VILQ,0
01239COMX,2017,VILQ,0
01239COMX,1986,VILQ,10
01241COMX,2017,VILQ,0
01241COMX,2011,VILQ,0
01241COMX,2022,VILQ,0
00679CAMB,2022,VILQ,0
00679CAMB,2011,VILQ,0
00679CAMB,1986,VILQ,0
00679CAMB,2002,VILQ,0
00679CAMB,2017,VILQ,0
00679CAMB,1989,VILQ,12
00679CAMB,1992,VILQ,0
00673CAMB,2002,VILQ,63
00673CAMB,2017,VILQ,0
00673CAMB,1989,VILQ,18
00673CAMB,1992,VILQ,0
00673CAMB,2022,VILQ,0
00673CAMB,1986,VILQ,0
00673CAMB,2011,VILQ,0
01212COMX,2006,VILQ,23
01212COMX,1986,VILQ,95
01212COMX,2022,VILQ,0
01212COMX,2011,VILQ,0
01212COMX,2002,VILQ,0
01212COMX,1992,VILQ,6
01212COMX,1989,VILQ,12
01212COMX,2017,VILQ,36
00022PARK,2017,VILQ,0
00022PARK,2022,VILQ,0
00022PARK,2011,VILQ,0
00022PARK,1992,VILQ,38
00022PARK,1986,VILQ,60
00022PARK,2006,VILQ,91
00022PARK,2002,VILQ,0
00022PARK,1989,VILQ,221
00007PARK,1989,VILQ,42
00007PARK,1992,VILQ,13
00007PARK,2017,VILQ,36
00007PARK,1986,VILQ,0
00007PARK,2002,VILQ,21
00007PARK,2022,VILQ,778
00007PARK,2011,VILQ,73
00007PARK,2006,VILQ,102
01170COMX,2002,VILQ,0
01170COMX,2017,VILQ,0
01170COMX,1992,VILQ,13
01170COMX,2011,VILQ,0
01170COMX,1986,VILQ,50
01170COMX,1989,VILQ,125
01170COMX,2022,VILQ,0
00632CAMB,2022,VILQ,0
00632CAMB,2017,VILQ,0
00632CAMB,2011,VILQ,0
01161COMX,2022,VILQ,0
01161COMX,2011,VILQ,0
01161COMX,2017,VILQ,0
00013PARK,2017,VILQ,0
00013PARK,2022,VILQ,0
00013PARK,2002,VILQ,10
00013PARK,1989,VILQ,36
00013PARK,1986,VILQ,0
00013PARK,2011,VILQ,109
00013PARK,1992,VILQ,81
00013PARK,2006,VILQ,23
00639CAMB,2017,VILQ,0
00639CAMB,2011,VILQ,0
00639CAMB,2022,VILQ,0
01149COMX,1989,VILQ,0
01149COMX,2022,VILQ,0
01149COMX,2017,VILQ,0
01149COMX,2002,VILQ,0
01149COMX,1986,VILQ,0
01149COMX,1992,VILQ,6
01149COMX,2011,VILQ,0
01115COMX,1992,VILQ,0
01115COMX,2017,VILQ,0
01115COMX,2002,VILQ,0
01115COMX,1989,VILQ,6
01115COMX,2011,VILQ,0
01115COMX,2022,VILQ,0
01115COMX,1986,VILQ,5
00572CAMB,2017,VILQ,0
00572CAMB,2011,VILQ,0
00572CAMB,2022,VILQ,0
01123COMX,2011,VILQ,0
01123COMX,2022,VILQ,0
01123COMX,2017,VILQ,0
00562CAMB,2017,VILQ,0
00562CAMB,2011,VILQ,0
00562CAMB,2022,VILQ,0
01108COMX,1989,VILQ,0
01108COMX,2011,VILQ,0
01108COMX,1986,VILQ,0
01108COMX,2006,VILQ,11
01108COMX,2017,VILQ,0
01108COMX,1992,VILQ,0
01108COMX,2002,VILQ,0
01108COMX,2022,VILQ,0
01041COMX,2022,VILQ,0
01041COMX,2017,VILQ,0
01041COMX,2011,VILQ,0
01005COMX,2011,VILQ,6970
01005COMX,2002,VILQ,7063
01005COMX,1989,VILQ,8563
01005COMX,2006,VILQ,6455
01005COMX,2022,VILQ,3397
01005COMX,2017,VILQ,2997
01005COMX,1992,VILQ,5206
01005COMX,1986,VILQ,4450
01019COMX,1989,VILQ,4287
01019COMX,2011,VILQ,7769
01019COMX,2017,VILQ,4102
01019COMX,1986,VILQ,1320
01019COMX,2006,VILQ,3318
01019COMX,2022,VILQ,3642
01019COMX,1992,VILQ,3781
01019COMX,2002,VILQ,8000
64000COMX,1992,VILQ,0
64000COMX,2011,VILQ,0
64000COMX,2002,VILQ,0
64000COMX,1986,VILQ,0
64000COMX,2022,VILQ,0
64000COMX,2017,VILQ,0
64000COMX,1989,VILQ,12
01030COMX,2011,VILQ,0
01030COMX,2022,VILQ,0
01030COMX,2017,VILQ,0
00948COMX,1986,VILQ,0
00948COMX,1989,VILQ,78
00948COMX,2017,VILQ,0
00948COMX,2011,VILQ,0
00948COMX,1992,VILQ,0
00948COMX,2002,VILQ,0
00948COMX,2022,VILQ,0
00525CAMB,2017,VILQ,0
00525CAMB,2022,VILQ,0
00525CAMB,2011,VILQ,0
00984COMX,1989,VILQ,0
00984COMX,2022,VILQ,0
00984COMX,1992,VILQ,13
00984COMX,2017,VILQ,0
00984COMX,1986,VILQ,0
00984COMX,2002,VILQ,0
00984COMX,2011,VILQ,0
00534CAMB,2002,VILQ,0
00534CAMB,1989,VILQ,12
00534CAMB,2022,VILQ,0
00534CAMB,1992,VILQ,0
00534CAMB,1986,VILQ,0
00534CAMB,2011,VILQ,0
00534CAMB,2017,VILQ,0
00517CAMB,2017,VILQ,0
00517CAMB,1992,VILQ,0
00517CAMB,1986,VILQ,0
00517CAMB,1989,VILQ,0
00517CAMB,2022,VILQ,0
00517CAMB,2002,VILQ,0
00517CAMB,2006,VILQ,23
00517CAMB,2011,VILQ,0
00803COMX,2006,VILQ,23
00803COMX,1989,VILQ,83
00803COMX,2002,VILQ,0
00803COMX,2011,VILQ,0
00803COMX,1986,VILQ,30
00803COMX,1992,VILQ,25
00803COMX,2017,VILQ,0
00803COMX,2022,VILQ,0
00719COMX,2017,VILQ,143
00719COMX,2022,VILQ,41
00719COMX,2006,VILQ,34
00719COMX,2002,VILQ,31
00719COMX,1989,VILQ,54
00719COMX,1992,VILQ,56
00719COMX,1986,VILQ,50
00719COMX,2011,VILQ,0
00822COMX,1992,VILQ,0
00822COMX,1986,VILQ,110
00822COMX,1989,VILQ,6
00822COMX,2002,VILQ,52
00822COMX,2011,VILQ,0
00822COMX,2017,VILQ,143
00822COMX,2022,VILQ,0
00751COMX,2022,VILQ,0
00751COMX,1986,VILQ,0
00751COMX,1992,VILQ,0
00751COMX,2006,VILQ,11
00751COMX,2011,VILQ,0
00751COMX,2017,VILQ,0
00751COMX,1989,VILQ,6
00751COMX,2002,VILQ,10
00728COMX,2022,VILQ,0
00728COMX,2017,VILQ,0
00728COMX,2011,VILQ,0
00815COMX,2022,VILQ,0
00815COMX,1986,VILQ,15
00815COMX,2017,VILQ,0
00815COMX,2011,VILQ,0
00815COMX,2002,VILQ,0
00815COMX,1992,VILQ,6
00815COMX,1989,VILQ,0
00731COMX,2022,VILQ,41
00731COMX,1992,VILQ,6
00731COMX,2006,VILQ,11
00731COMX,2011,VILQ,0
00731COMX,1986,VILQ,0
00731COMX,2017,VILQ,36
00731COMX,2002,VILQ,42
00731COMX,1989,VILQ,6
00789COMX,1992,VILQ,25
00789COMX,1986,VILQ,15
00789COMX,2017,VILQ,0
00789COMX,1989,VILQ,12
00789COMX,2006,VILQ,23
00789COMX,2022,VILQ,0
00789COMX,2011,VILQ,0
00789COMX,2002,VILQ,0
00743COMX,1992,VILQ,0
00743COMX,2022,VILQ,0
00743COMX,1989,VILQ,0
00743COMX,1986,VILQ,10
00743COMX,2002,VILQ,10
00743COMX,2011,VILQ,0
00743COMX,2017,VILQ,0
00743COMX,2006,VILQ,91
00802COMX,2022,VILQ,0
00802COMX,2006,VILQ,11
00802COMX,2011,VILQ,73
00802COMX,1986,VILQ,15
00802COMX,2017,VILQ,71
00802COMX,2002,VILQ,83
00802COMX,1989,VILQ,12
00802COMX,1992,VILQ,0
00769COMX,2022,VILQ,0
00769COMX,1992,VILQ,0
00769COMX,1989,VILQ,0
00769COMX,2017,VILQ,36
00769COMX,2011,VILQ,0
00769COMX,2002,VILQ,0
00769COMX,1986,VILQ,15
00799COMX,2017,VILQ,107
00799COMX,2011,VILQ,73
00799COMX,1986,VILQ,0
00799COMX,2002,VILQ,0
00799COMX,1992,VILQ,0
00799COMX,2006,VILQ,398
00799COMX,1989,VILQ,24
00799COMX,2022,VILQ,205
00745COMX,2006,VILQ,23
00745COMX,2017,VILQ,71
00745COMX,1989,VILQ,30
00745COMX,1986,VILQ,5
00745COMX,2011,VILQ,36
00745COMX,2022,VILQ,0
00745COMX,1992,VILQ,0
00745COMX,2002,VILQ,0
00689COMX,2011,VILQ,0
00689COMX,2022,VILQ,0
00689COMX,1992,VILQ,81
00689COMX,1989,VILQ,280
00689COMX,1986,VILQ,225
00689COMX,2017,VILQ,0
00689COMX,2006,VILQ,11
00689COMX,2002,VILQ,135
00699COMX,1986,VILQ,5
00699COMX,1989,VILQ,18
00699COMX,2006,VILQ,34
00699COMX,2017,VILQ,0
00699COMX,2011,VILQ,36
00699COMX,1992,VILQ,25
00699COMX,2022,VILQ,0
00699COMX,2002,VILQ,10
00662COMX,2011,VILQ,73
00662COMX,1989,VILQ,6
00662COMX,2006,VILQ,23
00662COMX,2017,VILQ,143
00662COMX,1986,VILQ,5
00662COMX,1992,VILQ,19
00662COMX,2002,VILQ,52
00662COMX,2022,VILQ,0
00712COMX,2002,VILQ,0
00712COMX,1986,VILQ,15
00712COMX,2011,VILQ,0
00712COMX,1989,VILQ,0
00712COMX,1992,VILQ,0
00712COMX,2017,VILQ,0
00712COMX,2022,VILQ,0
00654COMX,1989,VILQ,6
00654COMX,2006,VILQ,23
00654COMX,2011,VILQ,0
00654COMX,1992,VILQ,31
00654COMX,2017,VILQ,107
00654COMX,1986,VILQ,10
00654COMX,2002,VILQ,83
00654COMX,2022,VILQ,0
00652COMX,2017,VILQ,0
00652COMX,2011,VILQ,0
00652COMX,2022,VILQ,0
00643COMX,1992,VILQ,13
00643COMX,2002,VILQ,10
00643COMX,1986,VILQ,5
00643COMX,2006,VILQ,34
00643COMX,2011,VILQ,0
00643COMX,1989,VILQ,24
00643COMX,2017,VILQ,0
00643COMX,2022,VILQ,0
00570COMX,2002,VILQ,896
00570COMX,2017,VILQ,143
00570COMX,2022,VILQ,246
00570COMX,2011,VILQ,617
00570COMX,1992,VILQ,1731
00570COMX,1986,VILQ,700
00570COMX,2006,VILQ,693
00570COMX,1989,VILQ,1383
00588COMX,1989,VILQ,60
00588COMX,1986,VILQ,30
00588COMX,2002,VILQ,125
00588COMX,2006,VILQ,148
00588COMX,2011,VILQ,36
00588COMX,2017,VILQ,107
00588COMX,2022,VILQ,205
00588COMX,1992,VILQ,44
00549COMX,1989,VILQ,95
00549COMX,2011,VILQ,0
00549COMX,2017,VILQ,250
00549COMX,1986,VILQ,15
00549COMX,2002,VILQ,240
00549COMX,1992,VILQ,113
00549COMX,2006,VILQ,159
00549COMX,2022,VILQ,0
00531COMX,1989,VILQ,12
00531COMX,2002,VILQ,10
00531COMX,2011,VILQ,36
00531COMX,1986,VILQ,0
00531COMX,2017,VILQ,36
00531COMX,1992,VILQ,125
00531COMX,2006,VILQ,68
00531COMX,2022,VILQ,0
00640COMX,2011,VILQ,0
00640COMX,2022,VILQ,0
00640COMX,2017,VILQ,0
00624COMX,2002,VILQ,0
00624COMX,2022,VILQ,82
00624COMX,1986,VILQ,35
00624COMX,1989,VILQ,36
00624COMX,2017,VILQ,71
00624COMX,1992,VILQ,31
00624COMX,2006,VILQ,68
00624COMX,2011,VILQ,0
00622COMX,2006,VILQ,11
00622COMX,2022,VILQ,0
00622COMX,1986,VILQ,20
00622COMX,1992,VILQ,113
00622COMX,2011,VILQ,0
00622COMX,2017,VILQ,0
00622COMX,1989,VILQ,54
00622COMX,2002,VILQ,10
00505COMX,2017,VILQ,36
00505COMX,2002,VILQ,83
00505COMX,2006,VILQ,227
00505COMX,2011,VILQ,109
00505COMX,1989,VILQ,185
00505COMX,1986,VILQ,25
00505COMX,1992,VILQ,194
00505COMX,2022,VILQ,123
00362CAMB,2002,VILQ,4531
00362CAMB,1986,VILQ,2355
00362CAMB,2022,VILQ,2783
00362CAMB,2011,VILQ,2940
00362CAMB,1992,VILQ,3444
00362CAMB,1989,VILQ,5331
00362CAMB,2017,VILQ,3318
00362CAMB,2006,VILQ,5852
00433CAMB,2006,VILQ,34
00433CAMB,1986,VILQ,0
00433CAMB,2002,VILQ,0
00433CAMB,2022,VILQ,0
00433CAMB,1992,VILQ,0
00433CAMB,2011,VILQ,0
00433CAMB,2017,VILQ,0
00433CAMB,1989,VILQ,6
00408CAMB,2022,VILQ,0
00408CAMB,1992,VILQ,0
00408CAMB,2017,VILQ,0
00408CAMB,1986,VILQ,0
00408CAMB,2011,VILQ,0
00408CAMB,1989,VILQ,0
00408CAMB,2002,VILQ,21
00460COMX,2022,VILQ,409
00460COMX,2002,VILQ,2875
00460COMX,1992,VILQ,2925
00460COMX,2011,VILQ,1670
00460COMX,1986,VILQ,1660
00460COMX,2006,VILQ,4068
00460COMX,1989,VILQ,4776
00460COMX,2017,VILQ,571
00376COMX,2006,VILQ,34
00376COMX,2011,VILQ,36
00376COMX,2022,VILQ,0
00376COMX,2002,VILQ,42
00376COMX,1986,VILQ,70
00376COMX,2017,VILQ,0
00376COMX,1992,VILQ,75
00376COMX,1989,VILQ,36
00357COMX,2017,VILQ,71
00357COMX,1986,VILQ,345
00357COMX,1989,VILQ,388
00357COMX,2002,VILQ,177
00357COMX,1992,VILQ,394
00357COMX,2011,VILQ,327
00357COMX,2006,VILQ,216
00357COMX,2022,VILQ,41
00312COMX,2011,VILQ,36
00312COMX,2002,VILQ,10
00312COMX,2022,VILQ,82
00312COMX,1992,VILQ,150
00312COMX,1986,VILQ,130
00312COMX,2017,VILQ,36
00312COMX,1989,VILQ,137
00312COMX,2006,VILQ,68
00368CAMB,2002,VILQ,344
00368CAMB,2017,VILQ,178
00368CAMB,1992,VILQ,13
00368CAMB,1989,VILQ,143
00368CAMB,2006,VILQ,375
00368CAMB,2011,VILQ,472
00368CAMB,1986,VILQ,5
00368CAMB,2022,VILQ,164
00352CAMB,2017,VILQ,0
00352CAMB,2022,VILQ,41
00352CAMB,2002,VILQ,260
00352CAMB,2011,VILQ,36
00352CAMB,2006,VILQ,148
00352CAMB,1992,VILQ,156
00352CAMB,1986,VILQ,40
00352CAMB,1989,VILQ,167
00324COMX,1989,VILQ,149
00324COMX,2017,VILQ,0
00324COMX,1992,VILQ,75
00324COMX,2022,VILQ,0
00324COMX,2006,VILQ,11
00324COMX,2011,VILQ,0
00324COMX,2002,VILQ,0
00324COMX,1986,VILQ,45
00352CAMB,2022,VILQ,0
00352CAMB,1992,VILQ,0
00352CAMB,2011,VILQ,0
00352CAMB,1989,VILQ,203
00352CAMB,2002,VILQ,0
00352CAMB,1986,VILQ,0
00352CAMB,2017,VILQ,0
00353CAMB,2002,VILQ,10
00353CAMB,1986,VILQ,0
00353CAMB,1992,VILQ,13
00353CAMB,2022,VILQ,0
00353CAMB,1989,VILQ,18
00353CAMB,2011,VILQ,0
00353CAMB,2017,VILQ,0
00353CAMB,2006,VILQ,91
00273COMX,1986,VILQ,600
00273COMX,1992,VILQ,475
00273COMX,2002,VILQ,135
00273COMX,2017,VILQ,0
00273COMX,2011,VILQ,73
00273COMX,2006,VILQ,91
00273COMX,1989,VILQ,1360
00273COMX,2022,VILQ,164
00302COMX,2002,VILQ,104
00302COMX,2006,VILQ,136
00302COMX,1992,VILQ,100
00302COMX,2011,VILQ,218
00302COMX,1986,VILQ,140
00302COMX,1989,VILQ,179
00302COMX,2022,VILQ,123
00302COMX,2017,VILQ,214
00306CAMB,1986,VILQ,1360
00306CAMB,1992,VILQ,1000
00306CAMB,2002,VILQ,1010
00306CAMB,2011,VILQ,1089
00306CAMB,2017,VILQ,321
00306CAMB,1989,VILQ,2093
00306CAMB,2022,VILQ,900
00306CAMB,2006,VILQ,830
00317CAMB,2022,VILQ,0
00317CAMB,2002,VILQ,0
00317CAMB,1986,VILQ,0
00317CAMB,2017,VILQ,0
00317CAMB,1992,VILQ,13
00317CAMB,2011,VILQ,0
00317CAMB,1989,VILQ,48
00300CAMB,2002,VILQ,0
00300CAMB,2017,VILQ,0
00300CAMB,1986,VILQ,10
00300CAMB,2011,VILQ,0
00300CAMB,2022,VILQ,0
00300CAMB,1989,VILQ,0
00300CAMB,1992,VILQ,19
00280CAMB,1986,VILQ,475
00280CAMB,1992,VILQ,756
00280CAMB,2022,VILQ,409
00280CAMB,2002,VILQ,344
00280CAMB,1989,VILQ,364
00280CAMB,2017,VILQ,464
00280CAMB,2006,VILQ,57
00280CAMB,2011,VILQ,290
00252CAMB,2022,VILQ,0
00252CAMB,2006,VILQ,11
00252CAMB,2017,VILQ,0
00252CAMB,2011,VILQ,36
00252CAMB,1989,VILQ,578
00252CAMB,1992,VILQ,450
00252CAMB,2002,VILQ,406
00252CAMB,1986,VILQ,250
00247CAMB,1986,VILQ,35
00247CAMB,2002,VILQ,10
00247CAMB,2006,VILQ,68
00247CAMB,2017,VILQ,71
00247CAMB,1989,VILQ,12
00247CAMB,1992,VILQ,125
00247CAMB,2022,VILQ,82
00247CAMB,2011,VILQ,36
00229CAMB,2011,VILQ,0
00229CAMB,1986,VILQ,5
00229CAMB,2017,VILQ,0
00229CAMB,2002,VILQ,0
00229CAMB,1989,VILQ,0
00229CAMB,1992,VILQ,0
00229CAMB,2022,VILQ,0
00085NIMP,2017,VILQ,71
00085NIMP,2011,VILQ,0
00085NIMP,2022,VILQ,0
00085NIMP,1992,VILQ,6
00085NIMP,2002,VILQ,1646
00085NIMP,1989,VILQ,262
00085NIMP,1986,VILQ,435
00237CAMB,2017,VILQ,36
00237CAMB,2011,VILQ,73
00237CAMB,1992,VILQ,250
00237CAMB,2006,VILQ,557
00237CAMB,2002,VILQ,52
00237CAMB,1986,VILQ,430
00237CAMB,2022,VILQ,41
00237CAMB,1989,VILQ,865
00104CAMB,2017,VILQ,2747
00104CAMB,1986,VILQ,4000
00104CAMB,1989,VILQ,5707
00104CAMB,2011,VILQ,4501
00104CAMB,2006,VILQ,8295
00104CAMB,2022,VILQ,1882
00104CAMB,1992,VILQ,5031
00104CAMB,2002,VILQ,4521
00200CAMB,2006,VILQ,682
00200CAMB,2022,VILQ,123
00200CAMB,2017,VILQ,392
00200CAMB,1986,VILQ,0
00200CAMB,2011,VILQ,399
00200CAMB,1989,VILQ,0
00200CAMB,1992,VILQ,0
00200CAMB,2002,VILQ,0
00200CAMB,2011,VILQ,908
00200CAMB,1986,VILQ,450
00200CAMB,2006,VILQ,602
00200CAMB,2002,VILQ,490
00200CAMB,1989,VILQ,1305
00200CAMB,2022,VILQ,532
